"","iso3c","year","wefji"
"142","PRY",2007,"1.54838940999121"
"143","PRY",2008,"1.45068102980769"
"144","PRY",2009,"1.57341038765432"
"145","PRY",2010,"1.69956837204724"
"146","PRY",2011,"1.77777370639269"
"147","PRY",2012,"1.85918582528736"
"148","PRY",2013,"1.71344694202899"
"149","PRY",2014,"1.64850111089182"
"150","PRY",2015,"1.9519989588947"
"151","PER",2006,"1.98834780414404"
"152","PER",2007,"2.19332795190113"
"153","PER",2008,"2.72765608190683"
"154","PER",2009,"2.85596350057803"
"155","PER",2010,"2.61352286571429"
"156","PER",2011,"2.61756085172414"
"157","PER",2012,"2.48342330643275"
"158","PER",2013,"2.53846130740741"
"159","PER",2014,"2.47045245410444"
"160","PER",2015,"2.79911156852137"
"161","URY",2006,"5.05025393299243"
"162","URY",2007,"4.83169300766284"
"163","URY",2008,"5.03800168790181"
"164","URY",2009,"5.19444698418079"
"165","URY",2010,"5.26317868143713"
"166","URY",2011,"5.27590523229814"
"167","URY",2012,"5.2231120404908"
"168","URY",2013,"5.41578409075144"
"169","URY",2014,"5.61423922002407"
"170","URY",2015,"5.69395610584932"
"171","VEN",2006,"1.23301708192797"
"172","VEN",2007,"1.18810712164883"
"173","VEN",2008,"1.37709154243388"
"174","VEN",2009,"1.4463037375"
"175","VEN",2010,"1.69231003783784"
"176","VEN",2011,"1.64902335662651"
"177","VEN",2012,"1.27242112857143"
"178","VEN",2013,"1.11323639354839"
"179","VEN",2014,"1.11523713035635"
"180","VEN",2015,"1.12768639326096"
