"","year_panel","country","wefji","iso3c","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","X","OS","PF","PI","RS","PFR_index"
"34",2012,"Chile","5.31831031764706","CHL",267122320056.702,NA,78.6095365853659,16.5334558693377,11.014,79.446907043457,4,NA,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"35",2011,"Chile","5.46739003018868","CHL",252251992029.442,47.6,78.452756097561,18.7061748053358,11.21,75.0463104248047,4.09,85,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"36",2010,"Chile","5.3633173826087","CHL",218537551220.071,NA,78.3089268292683,18.1861844351289,11.414,69.6741104125977,3.94,84,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"37",2009,"Chile","4.7091890320442","CHL",172389498444.62,49,78.176512195122,14.7389784336844,11.625,61.8706016540527,4.44,83,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"38",2008,"Chile","4.4993218826612","CHL",179638496278.574,NA,78.0500243902439,19.5897430721461,11.845,57.2566909790039,3.61,82,0.857142857142857,0.5,0.333333333333333,0,0.448275862068966
"39",2007,"Chile","4.24700392180707","CHL",173605968179.255,NA,77.923,21.4206353359258,12.074,54.3121490478516,3.07,81,0.857142857142857,0.5,0.333333333333333,0,0.448275862068966
"40",2006,"Chile","3.99248218602185","CHL",154788024805.808,48.2,77.7909512195122,21.440345770711,12.311,48.619499206543,2.87,80,0.857142857142857,0.5,0.333333333333333,0,0.448275862068966
"41",2015,"Colombia","2.69090908765793","COL",291519591532.951,51.1,74.1561951219512,3.5786077652476,23.564,55.6572685241699,3,109,1,0.666666666666667,0.8,1,0.857142857142857
"42",2014,"Colombia","2.84107730826166","COL",378195716714.266,53.5,73.9789512195122,6.43633316306535,23.839,53.278938293457,3,108,1,0.666666666666667,0.8,1,0.857142857142857
"43",2013,"Colombia","3.04366139183673","COL",380191881860.372,53.5,73.8036585365854,7.05725263516863,24.117,50.1038208007813,3.15,NA,1,0.666666666666667,0.8,1,0.857142857142857
"44",2012,"Colombia","3.16602642482269","COL",369659700375.52,53.5,73.6307804878049,7.97154390821449,24.397,46.2157516479492,2.82,NA,1,0.666666666666667,0.8,1,0.857142857142857
"45",2011,"Colombia","3.50379267439759","COL",335415156702.186,54.2,73.4583658536585,9.27649319500959,24.679,43.5029602050781,2.41,107,1,0.666666666666667,0.8,1,0.857142857142857
"46",2010,"Colombia","3.48302693837209","COL",287018184637.529,55.5,73.2829024390244,6.26613994024701,24.964,39.4090995788574,2.08,106,0,0.666666666666667,0.2,0.666666666666667,0.25
"47",2009,"Colombia","3.63795641046832","COL",233821670544.258,55.9,73.101512195122,4.37002569837021,25.251,37.0786285400391,2.25,105,0,0.666666666666667,0.2,0.666666666666667,0.25
"48",2008,"Colombia","4.08120928426732","COL",243982437870.84,56,72.9102195121951,8.3589546379642,25.54,35.2456512451172,2.17,104,0,0,0.0666666666666667,0.333333333333333,0.0714285714285714
"49",2007,"Colombia","3.81120401337793","COL",207416494642.379,NA,72.7075365853659,6.3552890887182,25.831,32.6321716308594,1.93,103,0,0,0.0666666666666667,0.333333333333333,0.0714285714285714
"50",2006,"Colombia","3.5296453690878","COL",162590146096.414,NA,72.4924390243903,7.0199070460794,26.124,31.3316402435303,1.42,102,0,0,0.0666666666666667,0,0.0357142857142857
"51",2015,"Costa.Rica","5.07703332625373","CRI",54840103850.265,48.2,79.6089024390244,1.25618493157699,23.179,53.6296615600586,1.82,131,0.285714285714286,0.75,0,0.5,0.241379310344828
"52",2014,"Costa.Rica","5.03977477625978","CRI",50656002895.8763,48.5,79.4168536585366,1.45673756260813,24.085,53.0382804870605,1.72,130,0.285714285714286,0.75,0,0.5,0.241379310344828
"53",2013,"Costa.Rica","4.81867057156863","CRI",49745088111.6953,49.2,79.2315609756098,1.2393508859537,25.044,50.0085296630859,1.61,NA,0.285714285714286,0.75,0,0.5,0.241379310344828
"54",2012,"Costa.Rica","4.6659242880829","CRI",46473128285.5589,48.6,79.054512195122,1.21563749261122,26.06,49.3247413635254,1.42,NA,0.285714285714286,0.75,0,0.5,0.241379310344828
"55",2011,"Costa.Rica","4.87536372340426","CRI",42262697840.385,48.6,78.8877317073171,1.24341225470641,27.134,47.1797409057617,1.42,129,0.285714285714286,0.75,0,0.5,0.241379310344828
"56",2010,"Costa.Rica","5.2772804","CRI",37268635287.0856,48.1,78.7326341463415,1.6468530916139,28.266,NA,2.26,128,0.285714285714286,0.5,0,0.5,0.206896551724138
"57",2009,"Costa.Rica","5.31633868421053","CRI",30562361123.0307,51,78.5891951219512,1.19396054974327,29.427,NA,1.74,127,0.285714285714286,0.5,0,0.5,0.206896551724138
"58",2008,"Costa.Rica","5.21896016910299","CRI",30612932802.8991,49.1,78.4552926829268,1.31645203644308,30.613,NA,1.71,126,0,0,0,0,0
"59",2007,"Costa.Rica","5.07678881602269","CRI",26743874286.8514,49.5,78.3288536585366,1.44688542219712,31.828,NA,1.27,125,0,0,0,0,0
"60",2006,"Costa.Rica","5.0647817047817","CRI",22600431878.0024,49.3,78.2068292682927,1.32940939184305,33.068,NA,0.9,124,0,0,0,0,0
"61",2015,"Dominican.Republic","2.59131108050724","DOM",68102618092.1031,44.9,73.7036829268293,1.97793209366988,21.02,50.1163902282715,2.81,153,0,0,0,0.333333333333333,0.05
"62",2014,"Dominican.Republic","2.48641150125712","DOM",65231032303.2418,44.5,73.5161951219512,2.03234045873302,21.939,47.5157585144043,2.69,152,0,0,0,0.333333333333333,0.05
"63",2013,"Dominican.Republic","2.37931373809524","DOM",61965942056.6828,47.1,73.327243902439,1.76263047470595,22.918,NA,3.26,NA,0,0,0,0.333333333333333,0.05
"64",2012,"Dominican.Republic","2.58465687586207","DOM",60613645121.3529,45.7,73.1352926829268,0.9390628082196,23.961,46.7269287109375,5.59,NA,0,0,0,0.333333333333333,0.05
"65",2011,"Dominican.Republic","2.69246532783505","DOM",57746684847.0898,47.4,72.9413414634146,0.868042942715688,25.071,NA,3.09,151,0,0,0,0.333333333333333,0.05
"66",2010,"Dominican.Republic","3.06535601153846","DOM",53954579003.5277,47.2,72.7448780487805,0.192817175006333,26.248,NA,3.55,150,0,0,0,0.333333333333333,0.05
"67",2009,"Dominican.Republic","3.2952831","DOM",48376555305.6902,48.9,72.5443902439025,0.152159296881638,27.459,NA,3.46,149,0,0,0,0.333333333333333,0.05
"68",2008,"Dominican.Republic","3.03389627702668","DOM",48288967303.4896,49,72.3383658536585,1.07493737320217,28.703,NA,4.87,148,0,0,0,0.333333333333333,0.05
"69",2007,"Dominican.Republic","3.26509723230856","DOM",44169678153.1566,48.7,72.1288536585366,3.46843841940945,29.984,NA,3.88,147,0,0,0,0.333333333333333,0.05
"70",2006,"Dominican.Republic","2.99006064343715","DOM",35952845582.5029,51.9,71.9158292682927,2.61546456201523,31.295,NA,3.06,146,0,0,0,0.333333333333333,0.05
"71",2015,"Ecuador","2.10526323318481","ECU",100176808000,46.5,76.081512195122,3.85857414029947,36.258,NA,9.65,175,1,0.75,0.866666666666667,1,0.9
"72",2014,"Ecuador",NA,"ECU",102292260000,45.4,75.8597317073171,10.7940830630535,36.484,NA,11.55,174,1,0.75,0.866666666666667,1,0.9
"73",2013,"Ecuador","3.1589180484127","ECU",95129659000,47.3,75.6433902439024,12.3542260707395,36.702,40.4808616638184,12.18,NA,1,0.75,0.866666666666667,1,0.9
"74",2012,"Ecuador","2.45071","ECU",87924544000,46.6,75.4329756097561,13.5597161252785,36.912,39.8635101318359,10.51,NA,1,0.75,0.866666666666667,1,0.9
"75",2011,"Ecuador","2.30414099591837","ECU",79276664000,46.2,75.2294878048781,15.4356737606082,37.115,NA,10.14,173,1,0.75,0.866666666666667,0.75,0.866666666666667
"76",2010,"Ecuador","1.99428747007874","ECU",69555367000,49.3,75.0333902439024,10.8674129343069,37.31,NA,9.25,172,1,0.75,0.866666666666667,0.75,0.866666666666667
"77",2009,"Ecuador","1.97509236598639","ECU",62519686000,49.3,74.8486829268293,8.1245071439187,37.505,NA,8.45,171,1,0.75,0.866666666666667,0.75,0.866666666666667
"78",2008,"Ecuador","1.99026844772727","ECU",61762635000,50.6,74.6703902439024,17.4502037453578,37.7,38.6835517883301,9.6,170,0,0,0,0.25,0.0333333333333333
"79",2007,"Ecuador","2.04281418839558","ECU",51007777000,54.3,74.4965609756098,15.6037950402739,37.896,NA,5.15,169,0,0,0,0.25,0.0333333333333333
"80",2006,"Ecuador","1.7327479283614","ECU",46802044000,53.2,74.3207317073171,17.4440543897611,38.093,NA,3.57,168,0,0,0,0.25,0.0333333333333333
"81",2015,"El.Salvador","3.41814790650418","SLV",26052340000,40.8,73.0030975609756,0.912326808782312,33.274,29.1310997009277,2.62,351,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"82",2014,"El.Salvador","3.6138870023912","SLV",25054230000,41.8,72.7552926829268,0.975478192270326,33.745,28.8529605865479,2.77,350,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"83",2013,"El.Salvador","3.04768461282051","SLV",24350930000,43.5,72.4985365853659,0.783471914307415,34.225,29.1684799194336,3,NA,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"84",2012,"El.Salvador","2.66572117580645","SLV",23813600000,41.8,72.2318536585366,0.699648335586523,34.713,28.6289691925049,3.31,NA,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"85",2011,"El.Salvador","2.8814839","SLV",23139040000,42.4,71.955243902439,0.717897436355698,35.21,27.5908908843994,3.1,349,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"86",2010,"El.Salvador","2.98601661129032","SLV",21418330000,44.5,71.6701951219512,0.886071866392796,35.714,26.3590106964111,3.19,348,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"87",2009,"El.Salvador","3.04996387483444","SLV",20661030000,45.9,71.3777317073171,0.491622575104409,36.227,25.7341499328613,2.92,347,0.142857142857143,0.666666666666667,0,0.333333333333333,0.153846153846154
"88",2008,"El.Salvador","3.15415192857143","SLV",21430950000,46.7,71.0803414634146,0.496769053505088,36.748,25.1784591674805,2.82,346,0,0.666666666666667,0,0,0.0769230769230769
"89",2007,"El.Salvador","3.10673754152824","SLV",20104900000,45.2,70.78,0.478726389176711,37.277,24.3408908843994,2.64,345,0,0.666666666666667,0,0,0.0769230769230769
"90",2006,"El.Salvador","2.95691336633663","SLV",18550700000,45.4,70.4791951219512,0.46867529766251,37.813,23.270959854126,2.67,344,0,0.666666666666667,0,0,0.0769230769230769
"91",2015,"Guatemala","2.98170479108702","GTM",63767597193.9175,NA,73.0429756097561,2.29220828552765,48.429,21.846809387207,2.18,197,0.857142857142857,0.75,0.466666666666667,0.5,0.6
"92",2014,"Guatemala","2.99413078176667","GTM",58722323918.1604,48.7,72.7620243902439,2.96735048134168,48.885,NA,2.94,196,0.857142857142857,0.75,0.466666666666667,0.5,0.6
"93",2013,"Guatemala","3.0268887260355","GTM",53851058955.2999,NA,72.4540243902439,2.21519785961777,49.339,18.3258399963379,3,NA,0.857142857142857,0.75,0.466666666666667,0.5,0.6
"94",2012,"Guatemala","2.85810091180124","GTM",50388454861.1111,NA,72.1184634146341,2.20958768376396,49.788,NA,3.3,NA,0.857142857142857,0.75,0.466666666666667,0.5,0.6
"95",2011,"Guatemala","2.64715426875","GTM",47654841112.8523,52.3,71.7588536585366,2.84320991566914,50.235,NA,3.97,195,0.857142857142857,0.75,0.466666666666667,0.5,0.6
"96",2010,"Guatemala","2.72385554117647","GTM",41338595380.8159,NA,71.3862195121951,2.56791297320424,50.677,NA,4.12,194,0.714285714285714,0.5,0.4,0.25,0.466666666666667
"97",2009,"Guatemala","3.00259697391304","GTM",37733994976.4137,NA,71.0126097560976,1.59233555670531,51.116,NA,4.07,193,0.714285714285714,0.5,0.4,0.25,0.466666666666667
"98",2008,"Guatemala","3.27367683650616","GTM",39136893345.1501,NA,70.6510487804878,1.84228083378284,51.551,NA,4.47,192,0.714285714285714,0.5,0.4,0.25,0.466666666666667
"99",2007,"Guatemala","3.29024046826826","GTM",34113107085.6085,NA,70.3055853658537,1.84485264541457,51.981,16.9312000274658,4.81,191,0.714285714285714,0.5,0.4,0.25,0.466666666666667
"100",2006,"Guatemala","2.81623867069486","GTM",30231249362.0604,54.9,69.9756829268293,1.8176993368353,52.407,NA,5.26,190,0,0,0,0,0
"101",2015,"Honduras","3.34153554563839","HND",20844308600.8656,50.1,73.3246097560976,2.49451983253052,45.27,22.0593700408936,4.74,219,1,0,0,1,0.538461538461538
"102",2014,"Honduras","2.82835429754227","HND",19756533658.1136,51,73.1299024390244,2.77244804034708,45.863,21.184139251709,5.19,218,1,0,0,1,0.538461538461538
"103",2013,"Honduras","2.96886816737589","HND",18499729063.3889,53.7,72.9397073170732,2.23252779033313,46.463,21.2045593261719,5.23,NA,1,0,0,1,0.538461538461538
"104",2012,"Honduras","3.76336983859649","HND",18528554861.015,57.4,72.754,2.0840713639967,47.07,20.495569229126,4.61,NA,1,0,0,1,0.538461538461538
"105",2011,"Honduras","3.59818163425414","HND",17710275997.4437,57.4,72.5727804878049,2.35928043219581,47.684,NA,4.62,217,1,0,0,1,0.538461538461538
"106",2010,"Honduras","3.11707024652406","HND",15839344591.9842,53.4,72.3950487804878,2.74079141590315,48.304,20.6541900634766,3.74,216,1,0,0,1,0.538461538461538
"107",2009,"Honduras","2.97956385","HND",14587496229.1811,51.6,72.2182926829268,1.55006483289189,48.93,NA,5.13,215,1,0,0,1,0.538461538461538
"108",2008,"Honduras","3.24104430893162","HND",13789715132.502,55.7,72.0410243902439,1.74531478334228,49.562,18.7922306060791,4.81,214,0,0,0,0,0
"109",2007,"Honduras","3.01716381783409","HND",12275501784.2971,56.2,71.8592682926829,2.20859771983414,50.2,NA,4.11,213,0,0,0,0,0
"110",2006,"Honduras","2.41900914634146","HND",10841742347.7968,57.4,71.6729756097561,2.52790787031759,50.842,NA,3.34,212,0,0,0,0,0
"111",2015,"Mexico","3.1742305619376","MEX",1151037122909.08,NA,76.8813658536586,2.26483496921619,20.754,NA,3.3,241,0.142857142857143,0.75,0,0.333333333333333,0.178571428571429
"112",2014,"Mexico","3.1979045514752","MEX",1298398654278.73,48.2,76.6991707317073,4.86169044127314,21.029,29.9409008026123,2.9,240,0.142857142857143,0.75,0,0.333333333333333,0.178571428571429
"113",2013,"Mexico","3.34806136220736","MEX",1261981728468.52,NA,76.5230731707317,5.78006983451299,21.309,29.2085800170898,3.14,NA,0.142857142857143,0.75,0,0.333333333333333,0.178571428571429
"114",2012,"Mexico","3.3644231335443","MEX",1186598324461.82,48.1,76.3535853658537,6.61413534217209,21.593,28.3074398040771,2.48,NA,0.142857142857143,0.75,0,0.333333333333333,0.178571428571429
"115",2011,"Mexico","3.24259912857143","MEX",1171187519660.64,NA,76.1901951219512,6.91859035466353,21.882,27.0376491546631,2.68,239,0,0.75,0,0.333333333333333,0.142857142857143
"116",2010,"Mexico","3.21562175403226","MEX",1051128603513.77,48.1,76.0338536585366,4.85468095108734,22.175,26.1664390563965,2.63,238,0,0.75,0,0,0.107142857142857
"117",2009,"Mexico","3.23774505286344","MEX",894948748436.748,NA,75.8834634146342,3.7826219719778,22.473,25.1928596496582,2.59,237,0,0.75,0,0,0.107142857142857
"118",2008,"Mexico","3.41222574701143","MEX",1101275278668.79,48.2,75.737512195122,6.56994328064244,22.773,24.7486000061035,3.47,236,0,0.75,0,0,0.107142857142857
"119",2007,"Mexico","3.5810865045269","MEX",1043471321169.09,NA,75.5904390243903,5.57991233190078,23.077,24.1429805755615,2.91,235,0,0,0,0,0
"120",2006,"Mexico","3.56965939413618","MEX",965281191371.844,48,75.4397804878049,6.11018970164285,23.383,23.6079692840576,2.62,234,0,0,0,0,0
"121",2015,"Nicaragua","1.67869048118591","NIC",12747741539.7259,NA,75.038,4.11474558806679,41.221,NA,4.51,263,0.166666666666667,0.75,0,1,0.25
"122",2014,"Nicaragua","2.25171100438189","NIC",11880438824.4494,46.6,74.7727804878049,4.46905027907654,41.541,NA,4.04,262,0.166666666666667,0.75,0,1,0.25
"123",2013,"Nicaragua","2.63744040273973","NIC",10982972256.3787,NA,74.4980975609756,4.51626998696621,41.854,NA,3.84,NA,0.166666666666667,0.75,0,1,0.25
"124",2012,"Nicaragua","2.21837198235294","NIC",10532001129.67,NA,74.2094634146342,4.39822147515181,42.159,NA,3.74,NA,0.166666666666667,0.75,0,1,0.25
"125",2011,"Nicaragua","1.80272931875","NIC",9774316692.15985,NA,73.9073658536585,4.27608058024589,42.456,NA,3.5,261,0.166666666666667,0.75,0,1,0.25
"126",2010,"Nicaragua","2.08609535","NIC",8758622328.66962,NA,73.5923414634146,3.94358331287412,42.745,NA,3.87,260,0.166666666666667,0.75,0,1,0.25
"127",2009,"Nicaragua","2.17517809878049","NIC",8298695144.91507,44.2,73.2638780487805,1.65483171308493,43.026,NA,3.9,259,0.166666666666667,0.75,0,1,0.25
"128",2008,"Nicaragua","1.76709928275862","NIC",8496965842.2767,NA,72.925,1.70244540167438,43.299,NA,4.24,258,0.166666666666667,0.75,0,1,0.25
"129",2007,"Nicaragua","1.57702315899037","NIC",7423377429.05927,NA,72.5762195121951,1.71373173990224,43.563,NA,5.19,257,0.166666666666667,0.75,0,1,0.25
"130",2006,"Nicaragua","1.36653244565653","NIC",6763671610.70006,NA,72.2150487804878,1.7539625404105,43.819,NA,5.35,256,0.166666666666667,0.75,0,1,0.25
"131",2015,"Panama","2.64969419834766","PAN",52132289700,51,77.8174390243903,0.18649587915768,33.408,NA,6.25,285,0.142857142857143,0.666666666666667,0,0.333333333333333,0.148148148148148
"132",2014,"Panama","2.7078834752797","PAN",49165773100,50.7,77.6254390243903,0.130595784553701,33.708,NA,6.83,284,0.142857142857143,0.666666666666667,0,0.333333333333333,0.148148148148148
"133",2013,"Panama","2.69664686920152","PAN",44856189500,51.7,77.4326341463415,0.271881026613409,34.006,38.7393493652344,8.51,NA,0.142857142857143,0.666666666666667,0,0.333333333333333,0.148148148148148
"134",2012,"Panama","2.29088384494382","PAN",39954761200,51.9,77.2390487804878,0.33234233776096,34.302,44.1498908996582,7.4,NA,0.142857142857143,0.666666666666667,0,0.333333333333333,0.148148148148148
"135",2011,"Panama","2.10883036385542","PAN",34373820500,51.8,77.0462195121951,0.316676439363624,34.595,42.352710723877,7.31,283,0.142857142857143,0.666666666666667,0,0.333333333333333,0.148148148148148
"136",2010,"Panama","2.50943375555556","PAN",28917200000,51.9,76.8551951219512,0.257356101135916,34.885,44.3647918701172,6.84,282,0.142857142857143,0.333333333333333,0,0.333333333333333,0.111111111111111
"137",2009,"Panama","2.96436272349727","PAN",26593500000,52,76.668512195122,0.160344239851875,35.172,43.3694381713867,5.76,281,0.142857142857143,0.333333333333333,0,0.333333333333333,0.111111111111111
"138",2008,"Panama","2.66245015513775","PAN",24522200000,52.6,76.4871219512195,0.112349325956953,35.46,43.3841514587402,5.27,280,0.142857142857143,0.333333333333333,0,0.333333333333333,0.111111111111111
"139",2007,"Panama","2.47493114158462","PAN",2.0958e+10,53,76.3114878048781,0.119625128922061,35.749,43.2206001281738,3.8,279,0.142857142857143,0.333333333333333,0,0.333333333333333,0.111111111111111
"140",2006,"Panama","2.4700361512792","PAN",18141666300,55.1,76.139512195122,0.127248921645498,36.04,43.0770797729492,2.39,278,0.142857142857143,0.333333333333333,0,0.333333333333333,0.111111111111111
"141",2015,"Paraguay","1.9519989588947","PRY",27282581335.7964,48,73.0429756097561,2.19758586297901,40.334,NA,4.12,329,0,NA,0,0,0
"142",2014,"Paraguay","1.64850111089182","PRY",30881166852.3116,51.7,72.9324146341464,2.09156245253651,40.584,NA,3.65,328,0,NA,0,0,0
"143",2013,"Paraguay","1.71344694202899","PRY",28965906502.2306,48.3,72.803756097561,1.87728704438996,40.826,NA,3.77,NA,0,NA,0,0,0
"144",2012,"Paraguay","1.85918582528736","PRY",24595319573.7548,48.2,72.654512195122,2.0403495196779,41.06,NA,4.67,NA,0,NA,0,0,0
"145",2011,"Paraguay","1.77777370639269","PRY",25099681460.8943,52.6,72.4851707317073,1.91927443803299,41.286,NA,3.77,327,0,NA,0,0,0
"146",2010,"Paraguay","1.69956837204724","PRY",20030528042.9171,51.8,72.298243902439,2.63899154726928,41.513,35.0808486938477,3.3,326,0,NA,0,0,0
"147",2009,"Paraguay","1.57341038765432","PRY",15929902138.1363,49.7,72.099756097561,2.12744252495384,41.74,37.1439590454102,4.03,325,0,NA,0,0,0
"148",2008,"Paraguay","1.45068102980769","PRY",18504130752.9922,51,71.8967804878049,1.83456315915257,41.966,34.4893112182617,2.45,324,0,NA,0,0,0
"149",2007,"Paraguay","1.54838940999121","PRY",13794910633.8518,52.1,71.6938048780488,2.13171137584632,42.194,29.0505199432373,3.11,323,0,NA,0,0,0
"150",2006,"Paraguay","1.55221576396145","PRY",10646157920.3209,53.6,71.4913414634146,2.3048970258692,42.422,NA,3.49,322,0,NA,0,0,0
"151",2015,"Peru","2.79911156852137","PER",189212096470.293,44.3,74.7134146341463,6.2913853262124,21.391,NA,4.87,307,0.142857142857143,0.75,0,0,0.148148148148148
