"","year_panel","pfr","coc"
"1",1996,0.0255017813888889,4.34307344
"2",1997,0.0416128925,4.34307344
"3",1998,0.0451971218888889,4.33719747777778
"4",1999,0.0451971218888889,4.33719747777778
"5",2000,0.0646415663333333,4.35848701333333
"6",2001,0.0628494552222222,4.35848701333333
"7",2002,0.0664336774444444,4.34296044888889
"8",2003,0.0775447885555555,4.41401999777778
"9",2004,0.0793369032222222,4.42131285888889
"10",2005,0.118781347666667,4.36737845777778
"11",2006,0.145448014333333,4.44119033444444
"12",2007,0.169892458777778,4.40944797777778
"13",2008,0.208781347666667,4.464983
"14",2009,0.436594967722222,4.4269074
"15",2010,0.482293912166667,4.4642999
"16",2011,0.519516134388889,4.51426782222222
"17",2012,0.519516134388889,4.36763511111111
"18",2013,0.521738356611111,4.35879744444444
"19",2014,0.527849467722222,4.23733742222222
"20",2015,0.541738356611111,4.25635537777778
